sale_id,customer_id,product_id,store_id,sale_date,quantity_sold,unit_price,payment_method,discount_applied,total_price
1,135,321,60,26-11-2024,3,17.13,Online Payment,2.24,51.39
2,56,43,32,09-11-2024,2,101.83,Credit Card,15.33,203.66
3,404,437,28,27-01-2025,9,131.79,Debit Card,9.44,1186.11
4,652,17,58,22-04-2024,2,230.96,Credit Card,0.86,461.92
5,258,176,4,12-08-2024,9,143.24,Cash,13.7,1289.16
6,77,478,66,20-01-2025,1,45.75,Cash,1.89,45.75
7,366,304,14,15-11-2024,1,49.58,Credit Card,0.2,49.58
8,580,169,72,06-01-2025,9,219.63,Cash,11.14,1976.67
9,600,285,13,20-10-2024,1,73.14,Cash,1.92,73.14
10,77,448,35,18-08-2024,6,50.02,Online Payment,14.96,300.12
11,558,179,35,27-06-2024,9,189.93,Online Payment,12.71,1709.37
12,453,436,93,04-07-2024,3,212.85,Credit Card,8.82,638.55
13,515,249,67,13-01-2025,5,199.33,Cash,17.94,996.65
14,738,317,32,07-10-2024,1,159.03,Credit Card,11.64,159.03
15,203,20,37,06-08-2024,1,113.43,Cash,5.62,113.43
16,96,313,96,22-09-2024,1,131.79,Credit Card,5.89,131.79
17,300,419,84,25-11-2024,9,113.47,Debit Card,7.57,1021.23
18,838,290,21,25-02-2025,7,21.86,Online Payment,1.33,153.02
19,209,301,3,02-08-2024,3,32.39,Credit Card,1.39,97.17
20,567,310,34,26-06-2024,9,46.45,Debit Card,3.26,418.05
21,605,54,66,03-05-2024,7,43.06,Cash,2.94,301.42
22,660,241,65,03-02-2025,1,64.86,Cash,12.77,64.86
23,494,227,40,25-02-2025,7,100.91,Cash,15.98,706.37
24,206,239,77,08-04-2024,7,24.58,Cash,6.47,172.06
25,530,456,85,08-09-2024,4,103.36,Cash,3.69,413.44
26,390,206,92,08-06-2024,8,194.62,Debit Card,8.76,1556.96
27,477,210,72,07-09-2024,9,173.6,Debit Card,17.65,1562.4
28,335,381,48,21-04-2024,5,212.59,Debit Card,1.42,1062.95
29,9,288,91,27-06-2024,1,162.74,Debit Card,3.06,162.74
30,191,293,25,31-01-2025,2,62.47,Credit Card,13.05,124.94
31,279,245,23,18-11-2024,2,149.03,Cash,4.63,298.06
32,296,118,35,03-05-2024,8,113.43,Debit Card,17.92,907.44
33,113,228,85,19-11-2024,9,15.37,Cash,7.35,138.33
34,720,500,10,11-12-2024,8,137.61,Credit Card,5.18,1100.88
35,607,62,7,08-08-2024,7,40.14,Cash,0.2,280.98
36,131,431,77,11-04-2024,2,162.84,Debit Card,12.13,325.68
37,931,127,53,29-09-2024,7,222.8,Online Payment,15.83,1559.6
38,203,248,46,12-08-2024,1,51.18,Credit Card,5.05,51.18
39,298,12,9,07-02-2025,4,105.78,Debit Card,18.2,423.12
40,293,204,1,23-11-2024,5,103.5,Debit Card,19.16,517.5
41,507,193,96,22-12-2024,9,228.17,Debit Card,12.39,2053.53
42,121,123,7,28-02-2025,2,155.02,Cash,3.7,310.04
43,417,228,19,20-06-2024,2,87.77,Cash,3.29,175.54
44,576,434,74,08-06-2024,9,100.91,Cash,4.56,908.19
45,617,14,77,09-05-2024,8,231.46,Online Payment,6.02,1851.68
46,909,143,96,30-03-2025,7,135.66,Online Payment,10.56,949.62
47,778,159,16,20-11-2024,6,199.42,Credit Card,4.52,1196.52
48,916,123,7,01-01-2025,5,161.01,Credit Card,10.63,805.05
49,134,1,6,20-09-2024,7,134.52,Credit Card,1.26,941.64
50,137,182,34,22-03-2025,8,15.71,Credit Card,2.73,125.68
51,829,356,97,19-05-2024,7,53.23,Debit Card,19.7,372.61
52,149,195,5,08-05-2024,5,69.86,Credit Card,6.54,349.3
53,179,83,45,13-08-2024,1,246.51,Credit Card,13.95,246.51
54,733,245,27,09-08-2024,4,73.14,Cash,12.02,292.56
55,433,74,57,02-09-2024,6,190.13,Cash,7.25,1140.78
56,827,394,60,28-04-2024,3,138.41,Credit Card,4.94,415.23
57,784,186,89,23-07-2024,2,101.83,Online Payment,15.21,203.66
58,879,164,9,28-03-2025,9,35.86,Online Payment,7.87,322.74
59,500,336,22,17-01-2025,8,30.61,Credit Card,6.63,244.88
60,240,449,5,29-04-2024,5,151.89,Credit Card,1.32,759.45
61,134,98,15,04-03-2025,4,85.94,Debit Card,7.06,343.76
62,371,133,38,22-01-2025,2,69.86,Credit Card,1.28,139.72
63,94,331,68,20-04-2024,1,141.48,Debit Card,11.6,141.48
64,435,475,67,30-11-2024,8,91.61,Debit Card,1.67,732.88
65,135,421,35,16-05-2024,6,245.23,Cash,10.26,1471.38
66,892,187,70,12-06-2024,2,113.47,Credit Card,9.32,226.94
67,127,354,86,11-01-2025,7,103.5,Debit Card,1.8,724.5
68,909,142,96,22-03-2025,5,248.56,Cash,19.16,1242.8
69,872,485,60,08-02-2025,9,88.98,Online Payment,15.61,800.82
70,423,419,56,19-10-2024,8,16.65,Credit Card,14.72,133.2
71,656,384,74,22-10-2024,5,23.08,Debit Card,11.97,115.4
72,105,328,15,24-10-2024,5,69.9,Debit Card,0.41,349.5
73,189,44,82,20-12-2024,2,129.05,Credit Card,0.88,258.1
74,134,94,57,26-09-2024,5,144.85,Credit Card,14.9,724.25
75,706,415,68,25-01-2025,7,108.38,Debit Card,8.75,758.66
76,401,248,94,08-03-2025,2,158.35,Cash,3.33,316.7
77,507,181,68,05-05-2024,8,197.32,Debit Card,16.77,1578.56
78,1,214,99,01-05-2024,1,192.73,Online Payment,14.35,192.73
79,79,373,71,27-08-2024,3,73.23,Credit Card,0.01,219.69
80,64,470,71,01-04-2024,5,153.65,Debit Card,19.26,768.25
81,789,321,30,06-10-2024,2,133.13,Online Payment,14.29,266.26
82,93,19,39,09-05-2024,9,58.21,Online Payment,17.4,523.89
83,177,36,50,28-01-2025,3,72.26,Cash,19.99,216.78
84,236,224,75,16-01-2025,7,163.19,Cash,17.65,1142.33
85,243,476,8,09-04-2024,4,100.74,Debit Card,6.3,402.96
86,707,313,59,13-08-2024,5,109.82,Debit Card,4.49,549.1
87,57,114,74,25-05-2024,6,64.94,Online Payment,18.35,389.64
88,363,230,64,07-01-2025,5,148.56,Cash,0.58,742.8
89,357,225,30,30-11-2024,1,76.15,Credit Card,10.32,76.15
90,481,104,82,06-02-2025,5,127.19,Debit Card,5.77,635.95
91,169,422,98,15-07-2024,8,209.37,Debit Card,1.45,1674.96
92,329,69,99,05-03-2025,3,239.73,Debit Card,0.36,719.19
93,778,39,58,02-12-2024,5,105.34,Credit Card,5.52,526.7
94,198,470,66,06-06-2024,6,116.64,Online Payment,15.24,699.84
95,284,434,29,30-12-2024,1,211.27,Credit Card,5.98,211.27
96,594,111,42,12-03-2025,4,71.06,Cash,4.86,284.24
97,996,15,28,30-08-2024,3,92.05,Debit Card,12.35,276.15
98,856,41,39,16-12-2024,8,27.37,Debit Card,13.09,218.96
99,434,86,77,09-02-2025,6,243.84,Credit Card,6.19,1463.04
100,943,366,69,27-06-2024,6,14.42,Credit Card,13.7,86.52
101,543,31,21,24-08-2024,3,52.74,Credit Card,10.66,158.22
102,980,84,19,12-07-2024,6,168.41,Debit Card,8.51,1010.46
103,869,396,72,01-11-2024,1,192.43,Cash,0.02,192.43
104,33,362,5,20-04-2024,7,74.27,Cash,18.59,519.89
105,221,442,62,29-10-2024,8,211.18,Cash,6.83,1689.44
106,714,500,45,10-03-2025,7,192.42,Online Payment,5.53,1346.94
107,909,91,49,10-11-2024,9,122.03,Debit Card,19.25,1098.27
108,942,100,47,30-04-2024,3,212.53,Cash,4.43,637.59
109,659,218,48,10-09-2024,1,183.85,Cash,3.47,183.85
110,941,195,95,20-06-2024,6,88.98,Debit Card,15.09,533.88
111,112,436,24,04-05-2024,2,67.12,Credit Card,15.35,134.24
112,660,132,72,13-02-2025,4,53.52,Credit Card,2.77,214.08
113,75,302,55,13-03-2025,4,78.01,Debit Card,6.96,312.04
114,164,176,9,19-11-2024,8,216.6,Credit Card,9.92,1732.8
115,393,350,67,10-04-2024,1,187.88,Credit Card,4.68,187.88
116,673,349,58,04-11-2024,7,127.19,Cash,19.4,890.33
117,910,286,69,10-06-2024,9,143.21,Debit Card,14.85,1288.89
118,88,198,20,07-06-2024,8,39.93,Cash,9.3,319.44
119,510,275,100,28-09-2024,2,158.35,Debit Card,19,316.7
